comment,link
Τσιγάρο ποτό αναμνήσεις και ο Οικονομόπουλος στο τέρμα ξανά και ξανά Για να μας θυμίζει τα χρόνια που έφυγαν αλλά ποτέ δεν ξεχνάμε... Πάνω μόυ μαχαιριές οι μνήμες.....,https://www.youtube.com/watch?v=b0z_dp5-luQ
Τα τραγούδια θα ακούγονται αιώνια δεν πρόκειται να ξεχαστούν. Νικολα είσαι το νούμερο 1 στις πιστες!!! Συνέχισε να με εκπλήσσεις!!!!,https://www.youtube.com/watch?v=b0z_dp5-luQ
"αλλη μια κομματαρα απο τον εναν και μοναδικο αρχοντα!! Θα υπαρξουν και αλλες τετοιες κομματαρες διοτι Νικο δν εισαι μονο ταλαντουχος εισαι και θαυμασιο παιδι, βαζεις αγαπη σε οτι κ αν κανεις ποτε μην αλλαξεις χαρακτηρα. Σε αγαπαμε ",https://www.youtube.com/watch?v=b0z_dp5-luQ
Τι Θεϊκή... μαγευτική φωνή έχεις Νικολα ,https://www.youtube.com/watch?v=b0z_dp5-luQ
Κόμματαρα  φωνάρα  απίστευτη ερμηνεία κ υπέροχο ζεϊμπέκικο ....καλοταξιδο Νίκο μας ️️️️,https://www.youtube.com/watch?v=b0z_dp5-luQ
Τραγουδάρα από τις λιγες.Το εχω ακουσει πανω από 100 φορες.Μακαρι να μάθουμε ποιος ειναι ο Πανος.,https://www.youtube.com/watch?v=b0z_dp5-luQ
Μεγάλε Νικόλα.. Από τη πρώτη στιγμή στο Spotify το είχα στο repeat!!! Τι κομματάρα έβγαλες πάλι ρε Νικόλα!!!!,https://www.youtube.com/watch?v=b0z_dp5-luQ
"Η μεγαλύτερη στιγμή του Νίκου και του Σαμπάνη μαζί με το ""Ώρες μικρές"". Συγχαρητήρια και στον στιχουργό. Δεν υπάρχουν λόγια.",https://www.youtube.com/watch?v=b0z_dp5-luQ
"Πάνω μου, πάνω μου το λάθος
Έκπτωτος Άγγελος μοναχός
Διώξε με από την αγκαλιά σου
Κόψε με από τα φτερά σου .......
Read more",https://www.youtube.com/watch?v=b0z_dp5-luQ
Τέλειος φοβερός Εξερετικος φωναρα σέ αγγίζει αμέσως μέσα στην ψυχή!!! ,https://www.youtube.com/watch?v=b0z_dp5-luQ
"Απλά ανατρίχιασα!  Το videoklip ""έγραψε"" και έντυσε υπέροχα το υπέροχο τραγούδι χρόνια είχα να συγκινηθω με ελληνικό τραγούδι συγχαρητήρια σε όλους και πιο πολύ στν στιχουργό!!!! Bravissimo",https://www.youtube.com/watch?v=b0z_dp5-luQ
"""Όλες οι νύχτες εκείνες... που σαν το κερί έλιωνες πάνω μου!!!!"" ",https://www.youtube.com/watch?v=b0z_dp5-luQ
Με την ψυχή μου δεν τα βρήκα πουθενά..... Πάνω μου μαχαιριές οι μνήμες ,https://www.youtube.com/watch?v=b0z_dp5-luQ
"Εισαι ο ΠΡΩΤΟΣ ΚΑΙ ΜΕ ΔΙΑΦΟΡΑ ΑΠΟ ΟΛΟΥΣ ΤΟΥΣ ΑΛΛΟΥΣ!!! Φωναρα, καλο παιδι, ηθος αξίες  ολο το ΠΑΚΕΤΟ!!! Γι'αυτο σε λατρεύουμε ολοι!!!!!",https://www.youtube.com/watch?v=b0z_dp5-luQ
"Ένα υπέροχο τραγούδι από έναν υπέροχο τραγουδιστή!!! Είσαι μεγάλο αστέρι Νίκο Οικονομόπουλε, είσαι απλά τέλειος!!! Τίποτα λιγότερο!!!Σε ευχαριστούμε για μια ακόμα τραγουδάρα!!! Μπράβο τόσο σε σένα όσο και στους δημιουργούς του τραγουδιού!!! Καλοτάξιδο!!!",https://www.youtube.com/watch?v=b0z_dp5-luQ
"Ο,τι καλύτερο για επιτυχία του χειμώνα την τελευταία πενταετία.... Γιατρός και ψυχολόγος μαζί ",https://www.youtube.com/watch?v=b0z_dp5-luQ
Για άλλη μια φορά αφήνεις σημάδι μέσα στη καρδιά τη κατάλληλη στιγμή!!,https://www.youtube.com/watch?v=b0z_dp5-luQ
Какой удивительно приятный тембр голоса!,https://www.youtube.com/watch?v=b0z_dp5-luQ
"Αυτο ειναι νικολα!!! 
""Και ολες εκεινες τις στιγμες που ελιωνες Πανο μου""
Θα λεω λογω ονοματος...",https://www.youtube.com/watch?v=b0z_dp5-luQ
"Δεν μπορώ να κρύψω την αγάπη μου, για αυτό το τραγούδι !",https://www.youtube.com/watch?v=b0z_dp5-luQ
"Τέλειο τραγούδι,μπράβο σε όλους τους συντελεστές ,Με συγκινεί κάθε φορά που το ακούω",https://www.youtube.com/watch?v=BL74eKGkGXw
Τι φωνή. Μας ταξιδεύεις. Τα τραγούδια σου μιλάνε στην καρδιά μας,https://www.youtube.com/watch?v=BL74eKGkGXw
"Καμία φορά φοβόμαστε να πούμε αυτά που νιώθουμε, αυτά που σκεφτόμαστε... Γιατί ίσως στο βάθος ξέρουμε τις απαντήσεις, ξέρουμε τι θα συμβεί και φοβόμαστε να έρθουμε αντιμέτωποι με την αλήθεια... Για αυτό τα κρατάμε μέσα μας... Για αυτό δεν λέμε στον άλλο αυτα που πιστεύουμε, αυτά που νιώθουμε, αυτά που μας πειράζουν συνεχίζοντας την ψευδαίσθηση ότι όλα είναι καλά",https://www.youtube.com/watch?v=BL74eKGkGXw
Δεν επιβιώνει μια αγάπη χωρίς λόγια κ αγκαλιά!!! Δεν αντέχει μες στον χρόνο χωρίς τρυφερά φιλιά...,https://www.youtube.com/watch?v=BL74eKGkGXw
Τι θυμάσαι πάλι και δάκρυσες πες μου να μάθω και γω...να μ' αγκαλιάζεις γιατί σταμάτησες μόνο εγώ σ ' αγαπώ ️️ Υπέροχο τραγούδι!!! ️,https://www.youtube.com/watch?v=BL74eKGkGXw
Очень красивая песня!!! ️️️,https://www.youtube.com/watch?v=BL74eKGkGXw
Από τα πιο σημαντικά τραγούδια του Νίκου,https://www.youtube.com/watch?v=BL74eKGkGXw
Το αγάπησα από το πρώτο άκουσμα ️ Υπέροχη Καίτη μας ευχαριστούμε ,https://www.youtube.com/watch?v=BL74eKGkGXw
Τραγουδαρα από τα λίγα... Νίκο φωνάρα!!!,https://www.youtube.com/watch?v=BL74eKGkGXw
"να αγαπάς χωρίς να υπάρχει αύριο.
να αγκαλιάζεις σαν να είναι η τελευταία φορά.",https://www.youtube.com/watch?v=BL74eKGkGXw
Φτερουγίσε η καρδιά ️ μου ρίγος παντού απίστευτος εισαι Νίκο,https://www.youtube.com/watch?v=BL74eKGkGXw
Υπέροχος !!!φοβερό τραγούδι,https://www.youtube.com/watch?v=BL74eKGkGXw
Να με αγκαλιάζεις γιατί σταμάτησες;; δεν ξέρω τι να κάνω το βλέπω πως σε χάνω μα σαν παιδί φοβάμαι και πως να σου το πω.... Τι θυμάσαι;;,https://www.youtube.com/watch?v=BL74eKGkGXw
Υπεροχο τραγουδι!!!,https://www.youtube.com/watch?v=BL74eKGkGXw
Υπέροχο τραγούδι φοβερή φωνή,https://www.youtube.com/watch?v=BL74eKGkGXw
"Νικόλα μας, αν δακρύσεις να ξέρεις έχεις όλους εμάς που σε αγαπάμε! ️",https://www.youtube.com/watch?v=BL74eKGkGXw
Μοναδικός φωνάρα,https://www.youtube.com/watch?v=BL74eKGkGXw
Εξαιρετικό για μια ακόμη φορά ,https://www.youtube.com/watch?v=BL74eKGkGXw
Σιγά τον αργυρό ο οικονομοπουλος  είναι τοπ ουαν αξεπέραστος και στα παλιά και τα καινούργια  καμμια σύγκριση  αστέρι ,https://www.youtube.com/watch?v=BL74eKGkGXw
"Τι θυμάσαι πάλι και δάκρυσες, πες μου να μάθω κι εγώ, να μ'αγκαλιάζεις γιατί σταμάτησες μόνο εγώ σ'αγαπώ.. 09.08.2020... J.A.",https://www.youtube.com/watch?v=BL74eKGkGXw
